Product Name,Current Price,Old Price,Discount,Image URL
Support de trépied à 360 degrés pour stabilisateur pliable,99.00 Dhs,349.00 Dhs,72%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Mini Tripod avec Support Portable de Téléphone Selfie portable Smartphone Caméra,29.00 Dhs,50.00 Dhs,42%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Ring Light 26cm + Trepied Noir Tripod Avec Support Téléphone 3 Modes de Lumiere,128.90 Dhs,270.00 Dhs,52%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Tripod Support Pour telephone Trépied d'appareil Photo Camera,",52.00 Dhs,90.00 Dhs,42%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Support bureau de téléphone et de tablette pliable blanc,49.59 Dhs,69.00 Dhs,28%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Trépied TRIPOD  avec housse et support smartphone,53.80 Dhs,250.00 Dhs,78%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Support de bureau pour téléphone iPhone, Photo Video Live Youtube Instagram Facebook TikTok",89.00 Dhs,199.00 Dhs,55%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Kit Vlogging Smartphone avec poignée, Microphone stéréo, lumière LED - Youtube, TikTok",185.00 Dhs,221.00 Dhs,16%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Support de téléphone de voiture fixé d'aire voiture verrouillage automatique,29.75 Dhs,70.00 Dhs,58%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Support de bureau pliable pour téléphone portable,24.65 Dhs,70.00 Dhs,65%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
tripod Support 3120 pour camera et telephone en aluminium,52.20 Dhs,90.00 Dhs,42%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Ring Light 26cm + Tripied Noir Avec Support Téléphone 3 Modes de Lumiere,128.90 Dhs,165.00 Dhs,22%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
XIAOMI Mi 20W Wireless Car Charger,408.00 Dhs,549.00 Dhs,26%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Support Teléphone de voiture Magnétique à Aimant Mural cuisine, bureau, maison",39.00 Dhs,70.00 Dhs,44%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
tripod support trépied Grand Robuste universel pliable pour tous perephiques,39.99 Dhs,110.00 Dhs,64%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Support 360° de montage Long Neck One Touch pour tous les smartphones,89.00 Dhs,229.00 Dhs,61%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Support 360 rotatif universel Flexible paresseux  pour Smartphones,39.90 Dhs,69.00 Dhs,42%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
support de téléphone magnétique de voiture avec rotation 360 réglable,30.70 Dhs,55.00 Dhs,44%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
tripod trépied professionnel en aluminium pour appareils photo et téléphones portables,179.00 Dhs,339.00 Dhs,47%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Mini Flexible Tripied Super Légère Ajustable Rotatif Poulpe Avec Support,28.88 Dhs,,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Chargeur magsafe sans fil magnétique voiture 15W pour iPhone,139.00 Dhs,189.00 Dhs,26%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Motorola E201 Téléphones sans fil Originale Avec Mains Libre Haut Parleur Simple et efficace,279.00 Dhs,379.00 Dhs,26%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Plaque Magnétique Support Téléphone pour Voiture Maison, en Metal - 2 pièces",22.20 Dhs,37.00 Dhs,40%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Chargeur magsafe sans fil magnétique voiture 15W pour iPhone,71.10 Dhs,130.00 Dhs,45%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Support Téléphone de Voiture sur Pare brise Tableau bord (Ventouse ULTRA SOLIDE),68.90 Dhs,100.00 Dhs,31%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Support de téléphone magnétique pour voiture pliable,50.15 Dhs,90.00 Dhs,44%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"chargeur de voiture USB, charge rapide 3.0 Multi Protection 30W / 12V / 5A",79.00 Dhs,119.00 Dhs,34%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Support de téléphone magnétique pour voiture pliable,69.00 Dhs,,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Tripied Trepied Support Pour telephone d'appareil Photo Camera, Léger, Portatif",55.00 Dhs,250.00 Dhs,78%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Oraimo Support à ventouse pour voiture à montage long avec touche Flexible, à 360 degrés",89.67 Dhs,,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
trépied professionnel léger tripod caméra telephone en alliage d'aluminium,135.00 Dhs,250.00 Dhs,46%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Support Magnétique pour Smartphone Rotatif pour Voiture Téléphone Aimant Mural,37.00 Dhs,70.00 Dhs,47%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Black Support pour téléphone Portable caméra bureau flexible - iPhone Xiaomi Samsung,38.98 Dhs,147.00 Dhs,73%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Trépied Flexible pour Téléphone et caméra d'action GoPro avec support Mobile,28.98 Dhs,199.00 Dhs,85%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Stabilisation de smartphones, Suivi automatique du visage, objet...",149.00 Dhs,499.00 Dhs,70%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Adjustable Cell Phone Stand.Universal Desktop Phone Stand Tablet Stand,67.80 Dhs,250.00 Dhs,73%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Support Adaptateur pour Smartphone Portable Téléphone Trépied Mount Adapter,15.86 Dhs,44.00 Dhs,64%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Support téléphone pliable - blanc,45.00 Dhs,90.00 Dhs,50%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
iboga Support de téléphone console voiture Stack Super Adsorption - Support de succion,79.00 Dhs,119.00 Dhs,34%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Tripod Support en aluminium Pour telephone trépied d'appareil photo léger portatif,69.99 Dhs,93.00 Dhs,25%,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
